time,open,high,low,close,volume
2021-07-20 00:00:00+00:00,230.55,232.625,229.0,231.25,7359614
2021-07-21 00:00:00+00:00,231.25,235.0,230.05,234.65,4942828
2021-07-22 00:00:00+00:00,235.025,237.05,232.975,233.8,5909462
2021-07-23 00:00:00+00:00,234.525,235.225,232.65,233.675,4973538
2021-07-26 00:00:00+00:00,232.55,233.925,231.625,232.9,6514724
2021-07-27 00:00:00+00:00,232.375,233.475,230.0,231.175,9521886
2021-07-28 00:00:00+00:00,231.7,240.75,231.15,240.0,12389236
2021-07-29 00:00:00+00:00,240.9,245.0,239.225,241.8,11763638
2021-07-30 00:00:00+00:00,241.8,244.225,238.35,242.3,15681016
2021-08-02 00:00:00+00:00,244.5,247.0,242.925,243.925,10779604
2021-08-03 00:00:00+00:00,244.125,246.425,240.5,244.975,6762154
2021-08-04 00:00:00+00:00,245.5,245.9,244.225,245.625,5472764
2021-08-05 00:00:00+00:00,245.975,249.975,245.0,248.4,8143632
2021-08-06 00:00:00+00:00,248.625,251.625,246.825,249.725,8961734
2021-08-09 00:00:00+00:00,249.0,257.25,247.0,255.025,12052730
2021-08-10 00:00:00+00:00,256.575,260.625,255.5,259.25,11687794
2021-08-11 00:00:00+00:00,259.5,265.675,257.875,265.6,13542140
2021-08-12 00:00:00+00:00,265.75,267.0,259.05,260.375,11865860
2021-08-13 00:00:00+00:00,260.35,263.35,256.475,257.225,6925820
2021-08-16 00:00:00+00:00,256.475,262.1,255.325,261.925,6195236
2021-08-17 00:00:00+00:00,261.5,265.45,260.6,261.925,10375976
2021-08-18 00:00:00+00:00,263.2,263.975,255.675,255.95,7298198
2021-08-19 00:00:00+00:00,255.075,255.1,249.125,252.4,13278268
2021-08-20 00:00:00+00:00,252.025,255.5,247.9,253.425,8792058
2021-08-23 00:00:00+00:00,256.5,257.075,254.675,256.5,4442108
2021-08-24 00:00:00+00:00,256.925,258.7,252.85,255.325,6966526
2021-08-25 00:00:00+00:00,255.325,256.45,252.0,255.425,5155664
2021-08-26 00:00:00+00:00,254.975,255.425,249.0,250.225,6047164
2021-08-27 00:00:00+00:00,251.35,254.375,248.5,254.025,6552004
2021-08-30 00:00:00+00:00,254.05,261.25,254.05,260.75,10202874
2021-08-31 00:00:00+00:00,261.75,264.975,260.875,263.45,14407066
2021-09-01 00:00:00+00:00,264.975,266.075,262.05,266.0,7855336
2021-09-02 00:00:00+00:00,266.65,267.5,260.75,262.225,7473156
2021-09-03 00:00:00+00:00,262.5,264.5,259.25,262.0,8637806
2021-09-06 00:00:00+00:00,263.125,272.7,262.5,270.45,13588284
2021-09-07 00:00:00+00:00,271.85,274.2,265.25,268.2,10953000
2021-09-08 00:00:00+00:00,269.45,272.0,264.6,268.925,10038130
2021-09-09 00:00:00+00:00,268.725,268.725,261.375,261.95,9391226
2021-09-10 00:00:00+00:00,263.25,266.125,258.8,259.75,7194876
2021-09-13 00:00:00+00:00,261.3,262.75,259.5,262.75,6111552
2021-09-14 00:00:00+00:00,262.925,263.75,256.375,257.475,9041688
